agent_id,capabilities,created_at,handshake_nonce,handshake_signature,id,labels,last_seen,manifestationStrength,name,public_key,registered_at,status,task_count,trusted,type,updated_at
mostlyb4-6993-49ae-9a88-042c7077da3c,"['Analysis', 'MoStar-Logic']",2024-09-05T08:05:12.000000000+00:00,,,mostlyb4-6993-49ae-9a88-042c7077da3c,MindLayer:Agent,,48.155868884297284,_RARE_,,,online,7,,,2026-04-06T00:19:50.661000000+00:00
mostly45-0a97-4918-aeea-c3e4c2e9d9b9,"['Analysis', 'MoStar-Logic']",2025-03-05T08:11:47.000000000+00:00,,,mostly45-0a97-4918-aeea-c3e4c2e9d9b9,MindLayer:Agent,,16.811633195593533,agent_vision_01,,,_RARE_,7,,,2026-03-26T17:23:37.208000000+00:00
mostly0c-7a45-4892-8e2f-79a22b7c0138,"['Analysis', 'MoStar-Logic']",2025-03-05T08:11:47.000000000+00:00,,,mostly0c-7a45-4892-8e2f-79a22b7c0138,MindLayer:Agent,,21.26489705653947,agent_vision_01,,,online,6,,,2026-04-06T00:19:54.947000000+00:00
mostly95-6b16-4f04-92ca-2da5ec963844,"['Analysis', 'MoStar-Logic']",2025-03-05T08:11:47.000000000+00:00,,,mostly95-6b16-4f04-92ca-2da5ec963844,MindLayer:Agent,,13.44525027283681,agent_nlp_core,,,_RARE_,6,,,2026-03-27T06:26:32.631000000+00:00
mostly4d-5241-4ec0-80d4-6cc8f349a72a,"['Analysis', 'MoStar-Logic']",2025-03-05T08:11:47.000000000+00:00,,,mostly4d-5241-4ec0-80d4-6cc8f349a72a,MindLayer:Agent,,42.134600642238595,_RARE_,,,_RARE_,7,,,2026-04-06T00:19:59.084000000+00:00
mostly45-d5cb-420e-84d9-e7645ea5800d,"['Analysis', 'MoStar-Logic']",2024-07-29T03:40:12.000000000+00:00,,,mostly45-d5cb-420e-84d9-e7645ea5800d,MindLayer:Agent,,12.766341658241148,agent_vision_01,,,_RARE_,7,,,2026-03-27T06:19:38.401000000+00:00
mostly20-b76f-4a1d-8a67-3d72a21bff7e,"['Analysis', 'MoStar-Logic']",2024-07-29T03:40:12.000000000+00:00,,,mostly20-b76f-4a1d-8a67-3d72a21bff7e,MindLayer:Agent,,26.436364116023405,agent_alpha,,,online,6,,,2026-03-27T06:29:12.861000000+00:00
mostlycf-e0f5-4c80-9675-f584f3cac769,"['Analysis', 'MoStar-Logic']",2025-02-05T21:15:31.000000000+00:00,,,mostlycf-e0f5-4c80-9675-f584f3cac769,MindLayer:Agent,,24.07319235355179,agent_vision_01,,,_RARE_,7,,,2026-03-27T06:29:17.003000000+00:00
mostly82-df57-4702-af82-e2900862753f,"['Analysis', 'MoStar-Logic']",2025-03-05T08:11:47.000000000+00:00,,,mostly82-df57-4702-af82-e2900862753f,MindLayer:Agent,,14.43702489403917,agent_vision_01,,,_RARE_,7,,,2026-03-27T06:19:46.685000000+00:00
mostly43-58c7-48eb-b9e7-bce6471f9974,"['Analysis', 'MoStar-Logic']",2024-07-29T03:40:12.000000000+00:00,,,mostly43-58c7-48eb-b9e7-bce6471f9974,MindLayer:Agent,,8.613673649761186,_RARE_,,,_RARE_,6,,,2026-03-26T23:26:51.491000000+00:00
mostly70-6b9f-47f4-97ba-7e16c39c4cbb,"['Analysis', 'MoStar-Logic']",2024-08-05T03:37:42.000000000+00:00,,,mostly70-6b9f-47f4-97ba-7e16c39c4cbb,MindLayer:Agent,,16.58597720775714,_RARE_,,,online,7,,,2026-03-27T06:29:21.140000000+00:00
mostlye1-dc1a-4a0e-8088-b58fe424293b,"['Analysis', 'MoStar-Logic']",2024-07-29T03:40:12.000000000+00:00,,,mostlye1-dc1a-4a0e-8088-b58fe424293b,MindLayer:Agent,,7.45338862528628,_RARE_,,,online,7,,,2026-03-27T06:29:25.262000000+00:00
mostly54-a0fb-43cb-8a1d-f892129cb351,"['Analysis', 'MoStar-Logic']",2024-09-27T03:48:12.000000000+00:00,,,mostly54-a0fb-43cb-8a1d-f892129cb351,MindLayer:Agent,,7.139370609319333,agent_nlp_core,,,online,7,,,2026-03-26T18:56:17.369000000+00:00
